33900,Tasas por alquiler de espacios públicos,6,37745,37751,49303
34300,Senderismo,4000,0,4000,6906
34400,Precios publicos de Espectaculos,6,156058,156064,159177
34900,Escuela municipal de Musica y Danza de Arona,140000,0,140000,175253.94
34901,Cursos y Talleres personal adscrito al Patronato,60000,0,60000,74192.06
34902,Precios cursos y talleres por servicio,6,151049.83,151055.83,157930.77
38000,Reintegro de Presupuesto Cerrado,0,0,0,392
38900,Reintegro presupuesto corriente,3,0,3,0
39901,Recursos Eventuales.,500,0,500,6380
39902,Tasa prestación servicios en Istalaciones Cult.,0,0,0,10
40000,Transferencias del Ayuntamiento,2402141.95,0,2402141.95,2402141.95
42090,Otras transferencias corrientes de la Administraci,0,0,0,0
45000,Subvenciones CC.AA.,0,0,0,0
45080,Subvenciones CCAA,6,0,6,0
46100,"De Diputaciones, Consejos o Cabildos",6,57498.25,57504.25,57498.27
52700,Intereses de depósito,6,0,6,40.38
83001,Anticipos personal,0,10200,10200,10200
83100,Anticipos al Personal,0,7200,7200,7200
87010,Remanente Tesorería Gastos Financiación Afectada,0,104185.86,104185.86,0
,,2606680.95,523936.94,3130617.89,3106625.37
